epoch,loss,train_acc,test_acc,wall_s
1,1.4107754871249198,0.35,0.3,348.3301160335541
2,1.3551352053880692,0.5,0.45,342.1485071182251
3,1.3104506060481071,0.4625,0.425,341.68083095550537
4,1.2674444273114205,0.475,0.5,341.04083371162415
5,1.2541700541973113,0.45,0.325,342.52406573295593
6,1.156016817688942,0.425,0.275,341.8508574962616
7,1.0761132404208182,0.5125,0.425,342.2461414337158
8,0.9781130142509937,0.5375,0.475,341.8040020465851
9,0.9817881636321545,0.5125,0.5,342.76881289482117
10,0.8990454941987991,0.5,0.475,341.83882427215576
11,0.9246528588235379,0.4875,0.5,341.35600066185
12,0.904087270796299,0.5,0.5,341.1244902610779
13,0.8348887763917446,0.4625,0.375,342.5263843536377
14,0.7918300539255142,0.4875,0.425,342.6441321372986
15,0.9234425321221351,0.3875,0.35,341.3059198856354
16,1.178859193623066,0.425,0.25,342.1003921031952
17,1.1084860034286976,0.4,0.25,341.88644671440125
18,1.0075622998178004,0.3375,0.225,342.5600154399872
19,1.050246949493885,0.375,0.25,343.4665148258209
20,1.1051053889095783,0.325,0.25,343.2694172859192
