epoch,loss,train_acc,test_acc,wall_s
1,1.1329570601383845,0.3333333333333333,0.3333333333333333,45.46879196166992
2,1.106502319375674,0.3333333333333333,0.3333333333333333,45.74109673500061
3,1.0727770109971364,0.6666666666666666,0.6666666666666666,45.53129696846008
4,1.0374580770730972,0.6666666666666666,0.6666666666666666,45.82849717140198
5,1.003178306420644,0.6666666666666666,0.6666666666666666,45.90281414985657
6,0.9706086695194245,0.6666666666666666,0.6666666666666666,45.85830783843994
7,0.9387654374043147,0.6333333333333333,0.6333333333333333,45.618539333343506
8,0.9220408697923025,0.6666666666666666,0.6666666666666666,44.23676538467407
9,0.8943580577770869,0.6666666666666666,0.6666666666666666,43.27327513694763
10,0.831273889541626,0.6666666666666666,0.6666666666666666,43.54701852798462
11,0.787975363433361,0.6666666666666666,0.6666666666666666,43.64497375488281
12,0.7507031172513962,0.6666666666666666,0.6666666666666666,43.51058030128479
13,0.7164727638165156,0.6666666666666666,0.6666666666666666,43.28027844429016
14,0.682986888786157,0.6666666666666666,0.6666666666666666,43.4207227230072
15,0.6609929670890172,0.6666666666666666,0.6666666666666666,43.52040219306946
16,0.6405355488260587,0.6666666666666666,0.6666666666666666,43.38871693611145
17,0.6203736943503221,0.6666666666666666,0.6666666666666666,43.26366949081421
18,0.6056127903362115,0.6666666666666666,0.6666666666666666,43.52502703666687
19,0.5926700967053572,0.6666666666666666,0.6666666666666666,43.35441184043884
20,0.584012903024753,0.6666666666666666,0.6666666666666666,43.4650821685791
21,0.5727452869216602,0.6833333333333333,0.6666666666666666,43.30746245384216
22,0.5356687698513269,0.6666666666666666,0.6666666666666666,43.26246881484985
23,0.5626048546284437,0.6666666666666666,0.6666666666666666,43.4091477394104
24,0.5590260198960701,0.6666666666666666,0.6666666666666666,43.3255729675293
25,0.5539658886690935,0.6666666666666666,0.6666666666666666,43.212069272994995
26,0.5970707815140486,0.65,0.6666666666666666,43.347671031951904
27,0.5943612944334745,0.6333333333333333,0.6666666666666666,43.444419860839844
28,0.6102463137358427,0.6666666666666666,0.6666666666666666,43.39359736442566
29,0.545549900457263,0.65,0.8,43.33144783973694
30,0.5403144347170988,0.5833333333333334,0.8333333333333334,43.439985275268555
