epoch,loss,train_acc,test_acc,wall_s
1,1.4130372494459151,0.2625,0.25,57.879801750183105
2,1.3828710526227952,0.35,0.275,57.29586386680603
3,1.3700046837329865,0.25,0.25,57.541476249694824
4,1.3407073408365249,0.5,0.425,57.191094398498535
5,1.3027930408716202,0.5,0.5,57.438328981399536
6,1.2618486374616622,0.5,0.425,57.249638080596924
7,1.2355360992252826,0.3875,0.425,57.34858989715576
8,1.244657677412033,0.525,0.425,57.3886444568634
9,1.1880552768707275,0.5125,0.5,57.410630226135254
10,1.1677460089325904,0.4875,0.475,57.316346883773804
11,1.1434419713914394,0.4875,0.475,57.47242021560669
12,1.1126464664936067,0.4875,0.475,57.5098192691803
13,1.0720731370151042,0.4875,0.475,57.55324721336365
14,1.028500108420849,0.4875,0.475,57.33864760398865
15,0.999962005764246,0.55,0.375,57.63715744018555
16,0.9711357668042183,0.4125,0.4,57.43042993545532
17,0.9450796715915203,0.5375,0.375,57.419639110565186
18,0.9301241837441921,0.5,0.375,57.51442623138428
19,0.9020920120179653,0.5625,0.4,57.57047128677368
20,0.8511844389140606,0.55,0.425,57.27747678756714
